Fecha;Contaminante;Tipo;Clase;Muestra;Dirección;Analista;Concentración (ppm);Latitud;Longitud;
14/04/26;Bisfenol A;Plastico;Plastificante;Abeja;Paysandú;Florencia;0,09200;-32339996;-58112483;
14/04/26;Ibuprofeno;Farmaco;Analgésico;Abeja;Paysandú;Florencia;0,10000;-32339996;-58112483;
14/04/26;Microplastic;Plastico;Microplastico;Abeja;Paysandú;Florencia;0,56000;-32339996;-58112483;
14/04/26;2,4-D;Agroquímico;Herbicida Ácido;Mejillón;Rio Yi;Nicolas;0,05000;-33213068;-53802863;
14/04/26;Carbofuran;Agroquímico;Inseticida;Mejillón;Rio Yi;Nicolas;0,32100;-33213068;-53802863;
14/04/26;Imidacloprid;Agroquímico;Acaricida;Mejillón;Rio Yi;Nicolas;0,54300;-33213068;-53802863;
14/04/26;Spinosad A;Agroquímico;Piretróide;Mejillón;Rio Yi;Nicolas;0,07000;-33213068;-53802863;
05/07/26;Plomo;Inorgânico;Metal Pesado;Mejillón;Lago Rincón del Bonete;Nicolas;2,00000;-32637012;-55822048;
05/07/26;Mercury;Inorgânico;Metal Pesado;Mejillón;Lago Rincón del Bonete;Nicolas;0,34000;-32637012;-55822048;
05/07/26;Bisfenol A;Plastico;Plastificante;Mejillón;Lago Rincón del Bonete;Nicolas;0,20000;-32637012;-55822048;
05/07/26;Ibuprofeno;Farmaco;Analgésico;Mejillón;Lago Rincón del Bonete;Nicolas;1,40000;-32637012;-55822048;
05/07/26;Microplastic;Plastico;Microplastico;Mejillón;Lago Rincón del Bonete;Nicolas;1,10000;-32637012;-55822048;
05/07/26;2,4-D;Agroquímico;Herbicida Ácido;Suelo;Rivera;Guzman;0,45000;-30949242;-55550344;
05/07/26;Carbofuran;Agroquímico;Inseticida;Suelo;Rivera;Guzman;0,05000;-30949242;-55550344;
05/07/26;Imidacloprid;Agroquímico;Acaricida;Suelo;Rivera;Guzman;0,67500;-30949242;-55550344;
05/07/26;Spinosad A;Agroquímico;Piretróide;Suelo;Rivera;Guzman;0,32000;-30949242;-55550344;
05/07/26;Plomo;Inorgânico;Metal Pesado;Suelo;Rivera;Guzman;0,56000;-30949242;-55550344;
05/07/26;Mercury;Inorgânico;Metal Pesado;Suelo;Paysandú;Guzman;0,20000;-32339996;-58112483;
05/07/26;Bisfenol A;Plastico;Plastificante;Suelo;Paysandú;Guzman;0,23400;-32339996;-58112483;
05/07/26;Ibuprofeno;Farmaco;Analgésico;Suelo;Paysandú;Guzman;0,96000;-32339996;-58112483;
14/08/26;Microplastic;Plastico;Microplastico;Suelo;Paysandú;Guzman;1,06000;-32339996;-58112483;
14/08/26;2,4-D;Agroquímico;Herbicida Ácido;Mejillón;Rio Yi;Nicolas;0,45000;-33213068;-53802863;
14/08/26;Carbofuran;Agroquímico;Inseticida;Mejillón;Rio Yi;Nicolas;1,03200;-33213068;-53802863;
14/08/26;Imidacloprid;Agroquímico;Acaricida;Mejillón;Rio Yi;Nicolas;0,95000;-33213068;-53802863;
14/08/26;Spinosad A;Agroquímico;Piretróide;Mejillón;Rio Yi;Nicolas;1,42000;-33213068;-53802863;
14/08/26;Plomo;Inorgânico;Metal Pesado;Mejillón;Rio Yi;Nicolas;0,12300;-33213068;-53802863;
14/08/26;Mercury;Inorgânico;Metal Pesado;Mejillón;Rio Yi;Nicolas;0,92400;-33213068;-53802863;
14/08/26;Bisfenol A;Plastico;Plastificante;Mejillón;Paysandú;Nicolas;2,30000;-32339996;-58112483;
14/08/26;Ibuprofeno;Farmaco;Analgésico;Mejillón;Paysandú;Nicolas;5,20000;-32339996;-58112483;
14/08/26;Microplastic;Plastico;Microplastico;Mejillón;Paysandú;Nicolas;0,43000;-32339996;-58112483;
14/08/26;2,4-D;Agroquímico;Herbicida Ácido;Suelo;Rio Negro;Guzman;3,10000;-32818402;-56477362;
14/08/26;Carbofuran;Agroquímico;Inseticida;Suelo;Rio Negro;Guzman;0,50000;-32818402;-56477362;
14/08/26;Imidacloprid;Agroquímico;Acaricida;Suelo;Rio Negro;Guzman;0,03000;-32818402;-56477362;
14/08/26;Spinosad A;Agroquímico;Piretróide;Suelo;Rocha;Guzman;0,05000;-30949242;-55550344;
14/08/26;Plomo;Inorgânico;Metal Pesado;Suelo;Rivera;Guzman;0,32100;-30949242;-55550344;
14/08/26;Mercury;Inorgânico;Metal Pesado;Suelo;Rivera;Guzman;0,56700;-30949242;-55550344;
14/08/26;Bisfenol A;Plastico;Plastificante;Suelo;Rivera;Guzman;0,64000;-30949242;-55550344;
14/08/26;Ibuprofeno;Farmaco;Analgésico;Suelo;Rivera;Guzman;0,00200;-30949242;-55550344;
14/08/26;Microplastic;Plastico;Microplastico;Suelo;Rivera;Guzman;0,00010;-30949242;-55550344;
;;;;;;;;;;
